indice,fecha,tweets
23,4/3/20 0:35,PatricioMery Lenin Es normal que escriban estas y otras tonterías EcuadorEnEmergencia porqué el gobierno pierde 
24,4/3/20 0:35, WILLYSMYTCH EcuadorEnEmergencia Guayaquil de mis amores hoy tu cielo esta de luto ya no brillas como una perla quien se llevó tu b
25,4/3/20 0:35, EcuadorVideo Continúan muriendo en los domicilios los enfermos de coronavirus por falta de atención médica en los hospitales Ecuador
26,4/3/20 0:35, Efuentesec Sólo  millones  Ecuador sigue esperando el desembolso que ofreció FinanzasEc el  de marzo cuando corrió a pag
27,4/3/20 0:35, taniasandinista En momentos de PatriaGrande EcuadorEnEmergencia dueleEl mundo dueleY aunq la pandemia sea mundialHay países q s
28,4/3/20 0:35, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
29,4/3/20 0:35, veronicaariasf En medio de todo el dolor y la angustia por esta terrible pandemia también hay esperanza en Loja recibieron el alta
30,4/3/20 0:35, EcuadorVideo 𝗣𝗹𝗮𝘆 amp 𝗥𝗧  Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar
31,4/3/20 0:34, pierocampelo La diferencia entre Guayaquil y Quito está en sus lideres Una de estas ciudades las lidera un médico EcuadorEnEmergen
32,4/3/20 0:34, precarla Urgente Sigue la tragedia en EcuadorEnEmergencia 
33,4/3/20 0:34, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
34,4/3/20 0:34,Este tipo cree quecon Cacerolazos el COVIDEc va a desaparecerEstos politiqueros OPOUNISTAS solo dan VER 
35,4/3/20 0:34, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
36,4/3/20 0:34,Sólo  millones  Ecuador sigue esperando el desembolso que ofreció FinanzasEc el  de marzo cuando corr 
37,4/3/20 0:34, consuemary Alguien sabe si existe algo parecido para los profesionales de la comunicación social Digo algo así como juro informar
38,4/3/20 0:34, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
39,4/3/20 0:34,Para que se den cuenta la estupidez de este abogado que le dieron editando un video de Guayaquil con un video d 
40,4/3/20 0:34,Monte sinai Guayaquil EcuadorEnEmergencia EcuadorSOS CovidEc COVIDEc CoronavirusEC CoronavirusEcuador 
41,4/3/20 0:34, BaironValleP NOS ESTABAN MINTIENDOComunicacionEc pretendió desviar la atención insinuando como FakeNews a las noticias de persona
42,4/3/20 0:34, bytati Viene a darnos lecciones de humanismo el Presidente que decidió pagar  millones en deuda externa en lugar de comprar kits
43,4/3/20 0:34, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
44,4/3/20 0:33, marcelaholguin Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  CataAndramuno Ind
45,4/3/20 0:33,EvanSousa LulaOficial alferdez Gado bozolandesImpeachmentdoBolsonaroURGENTE EcuadorEnEmergencia 
46,4/3/20 0:33, CepamGuayaquil consuemary PoliciaEcuador FiscaliaEcuador mariapaularomo CIgualdadGenero estaremos vigilantes de que los hechos se
47,4/3/20 0:33, Pdanilo Gracias el CantonMilagro se lo agradece estimada IsabelNoboaP AzucarValdez ConsorcioNobis por haber hecho eco del clamo
48,4/3/20 0:33, ramonllzm Tenemos que ir por este camino en EcuadorEnEmergencia  Si te has dado cuenta que no son importantes tantos Asambleista Pu
49,4/3/20 0:33, GabrielAdrianQd Periodista soyfdelrincon de CNN cuestiona las medidas ineficientes del Estado No quiere intermediarios pide la pre
50,4/3/20 0:33, tecnovare El coronavirus está dejando Guayaquil en emergencia total con un estado totalmente ausente GuayaquilSOS EcuadorEnEmerge
51,4/3/20 0:33,Más millones para el país a donde irá a parar este dinero EcuadorEnEmergencia EcuadorSOS Covidec 
52,4/3/20 0:33,ATENTOS EcuadorEnEmergencia SOSEcuador EcuadorSOS Covidec  COMUNIQUENSE CON ESTA PERSONA PARA ADQUIRIR INS 
53,4/3/20 0:33, drexlerjorge Fuerza Guayaquil Ayudemos a EcuadorEcuadorSOS GuayaquilSOS EcuadorEnEmergencia
54,4/3/20 0:33, consuemary Pero para qué preocuparse si lo que pasa en GuayaquilSOS no es cierto es puro FakeNews sí o qué sacamo ves lo peligr
55,4/3/20 0:33, TPUJ CoronavirusEcuador El dictador Lenín Moreno agradece a sus ministros por negar la atención hospitalaria y que los pacientes mu
56,4/3/20 0:32, DanielLoyaT Hay que empezar a replantear nuestras prioridades EcuadorEnEmergencia COVIDEc QuedateEnCasa 
57,4/3/20 0:32, yosuerv Tristes y desgarradores testimonios ocurren en EcuadorEnEmergencia Urgen los pronunciamientos y medidas cautelares de los o
58,4/3/20 0:32, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
59,4/3/20 0:32, BaironValleP NOS ESTABAN MINTIENDOComunicacionEc pretendió desviar la atención insinuando como FakeNews a las noticias de persona
60,4/3/20 0:32,Acciones como estas y otras  concretas  hacen falta a Ecuador El país está pagando muy caro los malos gobiernos 
61,4/3/20 0:32, omarangulo er Contagio autóctono local Fase  PELIGRO COVID-La Muerte toca a la puerta ENCIERRO O ENTIERRO TU ELIGES  ign
62,4/3/20 0:32,Será verdad porque estoy investigando y lo que descubro indignaComo por ejemplo los falsos positivos que mane 
63,4/3/20 0:31, saladeprensafsa ARGENTINA QUEDATE EN CASA TRISTEZA TOTAL En Ecuador Por falta de asistencia por el Coronavirus El sistema de
64,4/3/20 0:31, BaironValleP Min mariapaularomo debería armar un instructivo para que alcaldes conozcan en qué casos No hay que polemizar y qué c
65,4/3/20 0:31, mujerleal Ikiam otro logro de la Revolución Ciudadana EcuadorEnEmergencia CoronavirusEcuador 
66,4/3/20 0:31, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
67,4/3/20 0:31,luisevivanco De juez de poca conciencia no esperes justa sentencia Y más del que espera la plata para la pauta 
68,4/3/20 0:31,Después de ver tanta  información en tw me duele la cabeza EcuadorEnEmergencia  SOSEcuador
69,4/3/20 0:31, iosoyjctorres Estimado de infectados por fechaProyección en base a daos hasta el  de marzo Los números difícilmente se equivocan
70,4/3/20 0:31, liliDESPL Aquí no hay FakeNews aquí hay una bola de inútiles Pedimos ayuda no tenemos presidente y estamos muriendo en las calles
71,4/3/20 0:31, EcuadorVideo Guayaquil y sus moradores en la ciudadela  y la F proceden por su cuenta poner el cal al fallecido cuerpo de  días por
72,4/3/20 0:31, CEDOCUT Con UNIDAD y DISCIPLINA venceremos la guerra con el virusPrimeroLaSaludPrimeroLaVidaQuédateEnCasaEcuadorEnEmergencia
73,4/3/20 0:31, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
74,4/3/20 0:30, EcuadorVideo 𝗣𝗹𝗮𝘆 amp 𝗥𝗧  Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar
75,4/3/20 0:30, BaironValleP Total indolencia con los médicos y enfermeras del IESSec No son atendidos Contagiados con el COVID se ven obligados
76,4/3/20 0:30,atvpe JulianaOxenford Ojalá Cumplan ess  que se burlan de todos y no estén llamando al general del Aire Mar o 
77,4/3/20 0:30, bytati Viene a darnos lecciones de humanismo el Presidente que decidió pagar  millones en deuda externa en lugar de comprar kits
78,4/3/20 0:30, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
79,4/3/20 0:30, WILLYSMYTCH EcuadorEnEmergencia Guayaquil de mis amores hoy tu cielo esta de luto ya no brillas como una perla quien se llevó tu b
80,4/3/20 0:30, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
81,4/3/20 0:29, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
82,4/3/20 0:29, bytati Desgarrador testimonio de un ciudadano guayaquileño Mi cuñado se está muriendo  Las medicinas que dijeron habían lleg
83,4/3/20 0:29, RNEAraucania TEMUCO FarmaciaDeTurno esta noche SALCOBRAND de Av Alemania  reddeemergencia RNEAraucania TodosSomosRNE Abril
84,4/3/20 0:29, rolandoteleSUR El drama de Guayaquil Así fue el manejo de la crisis del nuevo coronavirus Covid por los políticos de Guayas S
85,4/3/20 0:29, TPUJ  URGENTE  El dictador Lenin Moreno es indolente con el Pueblo de Ecuador niega atenciones en los hospitales y niega la entr
86,4/3/20 0:29, Velybutera Situación muy triste de este chico al ver que a su madre no le dan la atención que requiere por su estado en emergencia co
87,4/3/20 0:29, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
88,4/3/20 0:29, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
89,4/3/20 0:29, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
90,4/3/20 0:29,En todos lados ocurre esto Aún la gente no se da cuenta del timo cubano médico Siempre decepcionan a donde van 
91,4/3/20 0:29, marcelaholguin Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  CataAndramuno Ind
92,4/3/20 0:29, Vicever Más allá de su condición de traidor al pueblo que votó un programa de Izquierdas LeninMoreno ha demostrado ser un co
93,4/3/20 0:28,Auxilio comunidad internacional AmnistiaOnline ONUes necesitamos que se investigue esto y se nos ayude 
94,4/3/20 0:28, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
95,4/3/20 0:28, chinocarrasco Guayaquil  Lluvia en estos momentos en el norte de Guayaquil sector San Felipe Nos informan que se escucha truenos
96,4/3/20 0:28,Ante la inacción del gobierno en Manabí debemos prepararnos para el peor escenario adverso dentro de la emergenci 
97,4/3/20 0:28, wgomezr AsambleaEcuador cesarlitardo somosrc SomosRCEc es urgente que USTEDES TOMEN UNA DECISIÓN FRENTE A LA FALTA DE UN GOBERNA
98,4/3/20 0:28,Fuerzas hermanos me duele mucho el sufrimiento del pueblo ecuatoriano  EcuadorEnEmergencia Guayaquil
99,4/3/20 0:28, mashinancyg X FAVOR paremos al Covidec le exigimos al gobierno de Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca
100,4/3/20 0:28, ElCuervoNica  Lenin aquí están tus noticias falsas a ver si te haces eco de ellasengendr del malEcuadorEnEmerge
101,4/3/20 0:28, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
102,4/3/20 0:28, ViviGuevaraV Culpará y denunciará al Presidente de El Salvador
103,4/3/20 0:28, mashinancyg X FAVOR paremos al Covidec le exigimos al gobierno de Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca
104,4/3/20 0:28,Lenin Matón de quinta habla de que son noticias falsas y más imajenes hablan por si solas EcuadorEnEmergencia RenunciaMoreno
105,4/3/20 0:28, EcuadorVideo 𝗣𝗹𝗮𝘆 amp 𝗥𝗧  Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar
106,4/3/20 0:28,La diferencia entre Guayaquil y Quito está en sus lideres Una de estas ciudades las lidera un médico EcuadorEnEmergencia
107,4/3/20 0:27,Adivine el personaje  EcuadorEnEmergencia Covidec EcuadorSOS QuedateEnTuCasa GuayaquilSOS  Guayaquil 
108,4/3/20 0:27,Gente entienda Si estamos en cuarentena es para no salir y cuarentena obligatoria es para la gente porfiada Así 
109,4/3/20 0:27, bytati Viene a darnos lecciones de humanismo el Presidente que decidió pagar  millones en deuda externa en lugar de comprar kits
110,4/3/20 0:27, AgualsacaJose Nuestra tarea de hoy era hacer justicia por todxa los profesionales de salud familias víctimas gente indignada Por es
111,4/3/20 0:27, GonzalezBready COVID  EcuadorLa problemática de los cadáveres de infectados por Covid- en las casas radica en los más qu
112,4/3/20 0:27,Ya somos famosos Gracias Lenin Será que MashiRafael pagó este vídeoramiroaguilartSandinin 
113,4/3/20 0:27, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
114,4/3/20 0:27, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
115,4/3/20 0:27,Ikiam otro logro de la Revolución Ciudadana EcuadorEnEmergencia CoronavirusEcuador 
116,4/3/20 0:27,revistavistazo CBSamborondon para el EcuadorEnEmergencia o para el gobierno
117,4/3/20 0:27, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
118,4/3/20 0:27, ghidalgoandrade Se la pasan en pendejadas y quitan el tiempo a quienes sí trabajan Una resolución no regula nada ni tiene fuerza vinc
119,4/3/20 0:27, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
120,4/3/20 0:27,Es ironía que se Miles de acogan a DDHHcuando Militares a lo largo de la historia han masacrado a la clase obrera 
121,4/3/20 0:27, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
122,4/3/20 0:27, veronicaariasf En medio de todo el dolor y la angustia por esta terrible pandemia también hay esperanza en Loja recibieron el alta
123,4/3/20 0:27, veronicaariasf En medio de todo el dolor y la angustia por esta terrible pandemia también hay esperanza en Loja recibieron el alta
124,4/3/20 0:27, FUTtrabajadores Mañana Cacerolazo  Por la vida la salud el empleo y alimento para los más pobres SOSGuayaquil Ecuador
125,4/3/20 0:27, Efuentesec Falso el Titular de la noticia Unos bancos si lo han hecho para todos los tarjetahabientes otros es bajo petición y anál
126,4/3/20 0:27, liliDESPL Aquí no hay FakeNews aquí hay una bola de inútiles Pedimos ayuda no tenemos presidente y estamos muriendo en las calles
127,4/3/20 0:27,Según otros lo que pasa en Ecuador es un FakeNews la gente por medio de redes piden ayuda para sus familiares si 
128,4/3/20 0:27, wgomezr FiscaliaEcuador a qué hora mandan a intervenir a este medio q está desestabilizando a su Gobierno Ahh perdón no es CORREISTA
129,4/3/20 0:26, mashinancyg X FAVOR paremos al Covidec le exigimos al gobierno de Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca
130,4/3/20 0:26, lissjoha Villamar pida que también le den de baja a CNN   fabovillamar Lenin SOSGuayaquil SOSEcuador EcuadorEnEmergencia
131,4/3/20 0:26, MichaelLojano Que te han hecho EcuadorEcuadorEnEmergencia 
132,4/3/20 0:26, bytati El pueblo ecuatoriano está sufriendo Hospitales desbordados no hay pruebas ni medicinas queman cadáveres en descampados Y
133,4/3/20 0:26, ramonllzm Tenemos que ir por este camino en EcuadorEnEmergencia  Si te has dado cuenta que no son importantes tantos Asambleista Pu
134,4/3/20 0:26, emirmontoya robinrobles Robinsón necesitamos ayuda internacional de Cuba China Rusia AlemaniaEl gobierno no puede no sabe no
135,4/3/20 0:26, FlakissGuevara Cuando todo esto termine lo primero que haré es ir por tí bebé Encebollado EcuadorEnEmergencia SOSEcuador Ecuado
136,4/3/20 0:26, LEXKANDER Guayaquil hospital Francisco Icaza BustamanteEstá es la realidad no estamos mintiendo no hay un solo médico exclama
137,4/3/20 0:26, BaironValleP NOS ESTABAN MINTIENDOComunicacionEc pretendió desviar la atención insinuando como FakeNews a las noticias de persona
138,4/3/20 0:26,Que triste lo que está pasando en Guayaquil Dios los bendigaEcuadorEnEmergencia QuedateEnCasa
139,4/3/20 0:26, veronicaariasf En medio de todo el dolor y la angustia por esta terrible pandemia también hay esperanza en Loja recibieron el alta
140,4/3/20 0:26, KGuijarro SOSGuayaquil EcuadorEnEmergenciaCubaPorLaSaludPongan atención con responsabilidad a Guayaquil no sean inhumanos https
141,4/3/20 0:26, ghidalgoandrade Se la pasan en pendejadas y quitan el tiempo a quienes sí trabajan Una resolución no regula nada ni tiene fuerza vinc
142,4/3/20 0:26,Aquí no hay FakeNews aquí hay una bola de inútiles Pedimos ayuda no tenemos presidente y estamos muriendo en la 
143,4/3/20 0:26,ottosonnenh SaludEc DrJuanCZevallos IESSec PaulGranda PedroPabloDuart GoberdelGuayas RiesgosEc alexocles 
144,4/3/20 0:26, consuemary Pero para qué preocuparse si lo que pasa en GuayaquilSOS no es cierto es puro FakeNews sí o qué sacamo ves lo peligr
145,4/3/20 0:26,Eso se vive en EcuadorEnEmergencia estamos en manos de ineptos 
146,4/3/20 0:25, CulebraDigital URGENTELa inoperancia de un idiota titere  arrastrado a realDonaldTrump el mismo discurso fascista criminal de los
147,4/3/20 0:25, JayClandestino RubenLoor soyfdelrincon No le alcanzó el cheque de rueditas a este asqueroso de Fernandito golpea mujeres Diciend
148,4/3/20 0:25, CulturaVialEC En Guayaquil la desobediencia civil a la orden del día y siguen luchando por mantenerse en los primeros lugares de cont
149,4/3/20 0:25, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
150,4/3/20 0:25, emirmontoya robinrobles Robinsón necesitamos ayuda internacional de Cuba China Rusia AlemaniaEl gobierno no puede no sabe no
151,4/3/20 0:25, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
152,4/3/20 0:25,Fridakl Carlittos Definitivamente MorenoVirus ElPeorGobiernoDeLaHistoria ElGobiernoTeMiente EcuadorEnEmergencia
153,4/3/20 0:25, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
154,4/3/20 0:25, emirmontoya robinrobles Robinsón necesitamos ayuda internacional de Cuba China Rusia AlemaniaEl gobierno no puede no sabe no
155,4/3/20 0:25, BaironValleP NOS ESTABAN MINTIENDOComunicacionEc pretendió desviar la atención insinuando como FakeNews a las noticias de persona
156,4/3/20 0:25, LEXKANDER EcuadorEnEmergencia que pena que el mundo nos vea así  
157,4/3/20 0:25, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
158,4/3/20 0:25, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
159,4/3/20 0:25, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
160,4/3/20 0:25, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
161,4/3/20 0:24, emirmontoya robinrobles Robinsón necesitamos ayuda internacional de Cuba China Rusia AlemaniaEl gobierno no puede no sabe no
162,4/3/20 0:24, Cattuvela  Las únicas mascarillas que valen son las n o quirúrgicas guayaquil si usan de tela se están exponiendo  esta informa
163,4/3/20 0:24,Hace dos minutos los retrasados de Ecuavisa hablaban de desabastecimiento en New York Está noticia lo desmiente po 
164,4/3/20 0:24, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
165,4/3/20 0:24,ecuavisa COYUMO EcuadorEnEmergencia SOSEcuador EcuadorSOS Cuenca ElPeorGobiernoDeLaHistoria PaulGranda LADR 
166,4/3/20 0:24, JayClandestino RubenLoor soyfdelrincon No le alcanzó el cheque de rueditas a este asqueroso de Fernandito golpea mujeres Diciend
167,4/3/20 0:24,Por qué aún no lo han destituido a Granda Si fuera PaolaPabon ya estuviera tras las rejas Lo mismo Viteri  
168,4/3/20 0:24,Porqué en los informes que dan por televisión no dan este informe EcuadorEnEmergencia 
169,4/3/20 0:24, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
170,4/3/20 0:24, drexlerjorge Fuerza Guayaquil Ayudemos a EcuadorEcuadorSOS GuayaquilSOS EcuadorEnEmergencia
171,4/3/20 0:23,RiesgosEc Lenin LoroHomeroEn este punto no se salva el país más avanzado sino la tribu más disciplinada 
172,4/3/20 0:23,nayibbukele Acciones así son dignas de aplaudir el gobierno siempre debe estár distanciado de intereses particula 
173,4/3/20 0:23, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
174,4/3/20 0:23, bytati Viene a darnos lecciones de humanismo el Presidente que decidió pagar  millones en deuda externa en lugar de comprar kits
175,4/3/20 0:23, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
176,4/3/20 0:23, LEXKANDER EcuadorEnEmergencia que pena que el mundo nos vea así  
177,4/3/20 0:23, BaironValleP Min mariapaularomo debería armar un instructivo para que alcaldes conozcan en qué casos No hay que polemizar y qué c
178,4/3/20 0:23, jlexis Ya saben si alguien mas se muere es para ir en contra del gobierno EcuadorEnEmergencia EcuadorSOS  EcuadorEnCrisis https
179,4/3/20 0:23, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
180,4/3/20 0:23,CanalTelevida Avísenme al Director Gral de escuelas que su ignorancia es total respecto de la realidad Hay lugar 
181,4/3/20 0:23, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
182,4/3/20 0:23, Efuentesec Falso el Titular de la noticia Unos bancos si lo han hecho para todos los tarjetahabientes otros es bajo petición y anál
183,4/3/20 0:22, renacova Increíble   EcuadorEnEmergencia 
184,4/3/20 0:22, EcuadorVideo 𝗣𝗹𝗮𝘆 amp 𝗥𝗧  Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar
185,4/3/20 0:22, steevenmaciastv Siguen cerrando las tiendas  Qué pasa en el norte de Guayaquil Los dueños se han ido a sus lugares de origenLe
186,4/3/20 0:22, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
187,4/3/20 0:22, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
188,4/3/20 0:22, renacova Increíble   EcuadorEnEmergencia 
189,4/3/20 0:22, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
190,4/3/20 0:22,LucianoPereyra yo acá cocinando una medialuna para la familia EcuadorEnEmergencia   
191,4/3/20 0:22, bytati Viene a darnos lecciones de humanismo el Presidente que decidió pagar  millones en deuda externa en lugar de comprar kits
192,4/3/20 0:22,Falso el Titular de la noticia Unos bancos si lo han hecho para todos los tarjetahabientes otros es bajo petició 
193,4/3/20 0:22, bytati El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE Aclara que ahora recogen  cadáveres diar
194,4/3/20 0:22, Exzambranom Este es un ejemplo tomado de Colombia Desde cualquier postura social y económica puedes ayudarSiempre podemos nuestro
195,4/3/20 0:21, TPUJ CoronavirusEcuador El dictador Lenín Moreno agradece a sus ministros por negar la atención hospitalaria y que los pacientes mu
196,4/3/20 0:21, FlakissGuevara Cuando todo esto termine lo primero que haré es ir por tí bebé Encebollado EcuadorEnEmergencia SOSEcuador Ecuado
197,4/3/20 0:21, PARA QUE EL MUNDO VEA QUE NO SOLO EL GOBIERNO ES EL CULPABLE Covid CovidEc CoronavirusEcuador 
198,4/3/20 0:21, ghidalgoandrade Se la pasan en pendejadas y quitan el tiempo a quienes sí trabajan Una resolución no regula nada ni tiene fuerza vinc
199,4/3/20 0:21,Guayaquil hospital Francisco Icaza BustamanteEstá es la realidad no estamos mintiendo no hay un solo médico 
200,4/3/20 0:21, CarmenN EcuadorEnEmergencia De verdad que duelePersonas muriendo en la calle a consecuencia del COVID Qué penaNada m
201,4/3/20 0:21, consuemary Pero para qué preocuparse si lo que pasa en GuayaquilSOS no es cierto es puro FakeNews sí o qué sacamo ves lo peligr
202,4/3/20 0:21, FUTtrabajadores Mañana Cacerolazo  Por la vida la salud el empleo y alimento para los más pobres SOSGuayaquil Ecuador
203,4/3/20 0:20, CepamGuayaquil consuemary PoliciaEcuador FiscaliaEcuador mariapaularomo CIgualdadGenero estaremos vigilantes de que los hechos se
204,4/3/20 0:20, BaironValleP Total indolencia con los médicos y enfermeras del IESSec No son atendidos Contagiados con el COVID se ven obligados
205,4/3/20 0:20, BaironValleP Total indolencia con los médicos y enfermeras del IESSec No son atendidos Contagiados con el COVID se ven obligados
206,4/3/20 0:20, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
